,index,y
1135,2019-02-09,
1136,2019-02-10,
1137,2019-02-11,
1138,2019-02-12,
1139,2019-02-13,
1140,2019-02-14,
1141,2019-02-15,
1142,2019-02-16,
1143,2019-02-17,
1144,2019-02-18,
1145,2019-02-19,
1146,2019-02-20,
1147,2019-02-21,
1148,2019-02-22,
1149,2019-02-23,
1150,2019-02-24,
1151,2019-02-25,
1152,2019-02-26,
1153,2019-02-27,
1154,2019-02-28,
1155,2019-03-01,
1156,2019-03-02,
1157,2019-03-03,
1158,2019-03-04,
1159,2019-03-05,
1160,2019-03-06,
1161,2019-03-07,
1162,2019-03-08,
1163,2019-03-09,
1164,2019-03-10,
1165,2019-03-11,
1166,2019-03-12,
1167,2019-03-13,
1168,2019-03-14,
1169,2019-03-15,
1170,2019-03-16,
1171,2019-03-17,
1172,2019-03-18,
1173,2019-03-19,
1174,2019-03-20,
1175,2019-03-21,
1176,2019-03-22,
1177,2019-03-23,
1178,2019-03-24,
1179,2019-03-25,
1180,2019-03-26,
1181,2019-03-27,
1182,2019-03-28,
1183,2019-03-29,
1184,2019-03-30,
1185,2019-03-31,
1186,2019-04-01,
1187,2019-04-02,
1188,2019-04-03,
1189,2019-04-04,
1190,2019-04-05,
1191,2019-04-06,
1192,2019-04-07,
1193,2019-04-08,
1194,2019-04-09,
1195,2019-04-10,
1196,2019-04-11,
1197,2019-04-12,
1198,2019-04-13,
1199,2019-04-14,
1200,2019-04-15,
1201,2019-04-16,
1202,2019-04-17,
1203,2019-04-18,
1204,2019-04-19,
1205,2019-04-20,
1206,2019-04-21,
1207,2019-04-22,
1208,2019-04-23,
1209,2019-04-24,
1210,2019-04-25,
1211,2019-04-26,
1212,2019-04-27,
1213,2019-04-28,
1214,2019-04-29,
1215,2019-04-30,
1216,2019-05-01,
1217,2019-05-02,
1218,2019-05-03,
1219,2019-05-04,
1220,2019-05-05,
1221,2019-05-06,
1222,2019-05-07,
1223,2019-05-08,
1224,2019-05-09,
1225,2019-05-10,
1226,2019-05-11,
1227,2019-05-12,
1228,2019-05-13,
1229,2019-05-14,
1230,2019-05-15,
1231,2019-05-16,
1232,2019-05-17,
1233,2019-05-18,
1234,2019-05-19,
1235,2019-05-20,
1236,2019-05-21,
1237,2019-05-22,
1238,2019-05-23,
1239,2019-05-24,
1240,2019-05-25,
1241,2019-05-26,
1242,2019-05-27,
1243,2019-05-28,
1244,2019-05-29,
1245,2019-05-30,
1246,2019-05-31,
1247,2019-06-01,
1248,2019-06-02,
1249,2019-06-03,
1250,2019-06-04,
1251,2019-06-05,
1252,2019-06-06,
1253,2019-06-07,
1254,2019-06-08,
1255,2019-06-09,
1256,2019-06-10,
1257,2019-06-11,
1258,2019-06-12,
1259,2019-06-13,
1260,2019-06-14,
1261,2019-06-15,
1262,2019-06-16,
1263,2019-06-17,
1264,2019-06-18,
1265,2019-06-19,
1266,2019-06-20,
1267,2019-06-21,
1268,2019-06-22,
1269,2019-06-23,
1270,2019-06-24,
1271,2019-06-25,
1272,2019-06-26,
1273,2019-06-27,
1274,2019-06-28,
1275,2019-06-29,
1276,2019-06-30,
1277,2019-07-01,
1278,2019-07-02,
1279,2019-07-03,
1280,2019-07-04,
1281,2019-07-05,
1282,2019-07-06,
1283,2019-07-07,
1284,2019-07-08,
1285,2019-07-09,
1286,2019-07-10,
1287,2019-07-11,
1288,2019-07-12,
1289,2019-07-13,
1290,2019-07-14,
1291,2019-07-15,
1292,2019-07-16,
1293,2019-07-17,
1294,2019-07-18,
1295,2019-07-19,
1296,2019-07-20,
1297,2019-07-21,
1298,2019-07-22,
1299,2019-07-23,
1300,2019-07-24,
1301,2019-07-25,
1302,2019-07-26,
1303,2019-07-27,
1304,2019-07-28,
1305,2019-07-29,
1306,2019-07-30,
1307,2019-07-31,
1308,2019-08-01,
1309,2019-08-02,
1310,2019-08-03,
1311,2019-08-04,
1312,2019-08-05,
1313,2019-08-06,
1314,2019-08-07,
1315,2019-08-08,
1316,2019-08-09,
1317,2019-08-10,
1318,2019-08-11,
1319,2019-08-12,
1320,2019-08-13,
1321,2019-08-14,
1322,2019-08-15,
1323,2019-08-16,
1324,2019-08-17,
1325,2019-08-18,
1326,2019-08-19,
1327,2019-08-20,
1328,2019-08-21,
1329,2019-08-22,
1330,2019-08-23,
1331,2019-08-24,
1332,2019-08-25,
1333,2019-08-26,
1334,2019-08-27,
1335,2019-08-28,
1336,2019-08-29,
1337,2019-08-30,
1338,2019-08-31,
1339,2019-09-01,
1340,2019-09-02,
1341,2019-09-03,
1342,2019-09-04,
1343,2019-09-05,
1344,2019-09-06,
1345,2019-09-07,
1346,2019-09-08,
1347,2019-09-09,
1348,2019-09-10,
1349,2019-09-11,
1350,2019-09-12,
1351,2019-09-13,
1352,2019-09-14,
1353,2019-09-15,
1354,2019-09-16,
1355,2019-09-17,
1356,2019-09-18,
1357,2019-09-19,
1358,2019-09-20,
1359,2019-09-21,
